mov_hposepitch,mov_hposeyaw,mov_hposeroll,mov_hposedist,error_reason,dbm_master_url
0.12,0.064,0.022000000000000002,0.0014142135623730963,Pass,/app/raw_data/subj01_timepoint01.mp4
0.121,0.065,0.022000000000000002,0.0014142135623730963,Pass,/app/raw_data/subj01_timepoint01.mp4
0.12,0.065,0.023,0.001414213562373094,Pass,/app/raw_data/subj01_timepoint01.mp4
0.124,0.065,0.023,0.0040000000000000036,Pass,/app/raw_data/subj01_timepoint01.mp4
0.128,0.064,0.023,0.004123105625617665,Pass,/app/raw_data/subj01_timepoint01.mp4
0.128,0.063,0.024,0.0014142135623730963,Pass,/app/raw_data/subj01_timepoint01.mp4
0.131,0.062,0.024,0.003162277660168382,Pass,/app/raw_data/subj01_timepoint01.mp4
0.127,0.062,0.026000000000000002,0.004472135954999583,Pass,/app/raw_data/subj01_timepoint01.mp4
0.12300000000000001,0.061,0.027999999999999997,0.004582575694955829,Pass,/app/raw_data/subj01_timepoint01.mp4
0.127,0.063,0.025,0.005385164807134494,Pass,/app/raw_data/subj01_timepoint01.mp4
0.126,0.063,0.024,0.0014142135623730963,Pass,/app/raw_data/subj01_timepoint01.mp4
0.124,0.064,0.024,0.0022360679774997916,Pass,/app/raw_data/subj01_timepoint01.mp4
0.124,0.066,0.021,0.0036055512754639895,Pass,/app/raw_data/subj01_timepoint01.mp4
0.126,0.066,0.019,0.0028284271247461927,Pass,/app/raw_data/subj01_timepoint01.mp4
0.134,0.07,0.015,0.00979795897113272,Pass,/app/raw_data/subj01_timepoint01.mp4
0.131,0.07,0.013999999999999999,0.003162277660168382,Pass,/app/raw_data/subj01_timepoint01.mp4
0.135,0.071,0.013000000000000001,0.004242640687119285,Pass,/app/raw_data/subj01_timepoint01.mp4
0.135,0.07400000000000001,0.012,0.0031622776601683954,Pass,/app/raw_data/subj01_timepoint01.mp4
0.136,0.07200000000000001,0.011000000000000001,0.0024494897427831796,Pass,/app/raw_data/subj01_timepoint01.mp4
0.134,0.07400000000000001,0.011000000000000001,0.0028284271247461927,Pass,/app/raw_data/subj01_timepoint01.mp4
0.133,0.071,0.011000000000000001,0.0031622776601683954,Pass,/app/raw_data/subj01_timepoint01.mp4
0.133,0.07400000000000001,0.009000000000000001,0.003605551275464003,Pass,/app/raw_data/subj01_timepoint01.mp4
0.134,0.07400000000000001,0.009000000000000001,0.0010000000000000009,Pass,/app/raw_data/subj01_timepoint01.mp4
0.134,0.07400000000000001,0.009000000000000001,0.0,Pass,/app/raw_data/subj01_timepoint01.mp4
0.13699999999999998,0.073,0.009000000000000001,0.0031622776601683603,Pass,/app/raw_data/subj01_timepoint01.mp4
0.14,0.07200000000000001,0.01,0.0033166247903554233,Pass,/app/raw_data/subj01_timepoint01.mp4
0.139,0.07,0.012,0.0030000000000000014,Pass,/app/raw_data/subj01_timepoint01.mp4
0.139,0.068,0.012,0.0020000000000000018,Pass,/app/raw_data/subj01_timepoint01.mp4
0.14300000000000002,0.067,0.012,0.004123105625617665,Pass,/app/raw_data/subj01_timepoint01.mp4
0.141,0.065,0.013999999999999999,0.0034641016151377717,Pass,/app/raw_data/subj01_timepoint01.mp4
0.141,0.065,0.015,0.0010000000000000009,Pass,/app/raw_data/subj01_timepoint01.mp4
