fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.02,0.04,0.0,0.0,1.04,1.59,0.09,1.0,0.37,1.67,0.0,0.3,0.0,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,1.2,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.02,0.04,0.0,0.0,1.14,1.62,0.15,1.19,0.43,1.84,0.0,0.42,0.0,0.14,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0,1.2329999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.01,0.0,0.0,1.16,1.56,0.21,1.27,0.48,1.91,0.0,0.47,0.0,0.16,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,1.2670000000000001,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.17,1.33,0.16,1.44,0.54,2.04,0.05,0.62,0.0,0.22,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,1.3,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.19,1.21,0.14,1.49,0.63,2.06,0.13,0.53,0.0,0.31,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,1.3330000000000002,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.18,1.24,0.16,1.47,0.64,2.05,0.13,0.41,0.0,0.31,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0,1.367,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.04,0.0,0.0,0.0,1.21,1.33,0.21,1.43,0.66,1.99,0.08,0.38,0.0,0.26,0.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,1.4,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.04,0.03,0.0,0.0,1.17,1.51,0.23,1.31,0.57,1.98,0.0,0.44,0.01,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,1.433,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.04,0.05,0.0,0.0,1.13,1.52,0.22,1.22,0.53,2.03,0.0,0.5,0.01,0.2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0,1.4669999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.05,0.0,0.0,1.09,1.49,0.23,1.2,0.51,2.03,0.0,0.52,0.01,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0,1.5,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.03,0.02,0.0,0.0,1.11,1.49,0.23,1.22,0.57,2.06,0.0,0.51,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,1.5330000000000001,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.03,0.0,0.0,0.0,1.16,1.49,0.17,1.22,0.64,2.09,0.02,0.46,0.0,0.08,0.0,0.11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,1.567,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.04,0.0,0.0,0.0,1.14,1.58,0.08,1.16,0.73,2.19,0.07,0.44,0.0,0.17,0.0,0.26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0,1.6,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.03,0.0,0.0,0.0,1.08,1.6,0.01,1.2,0.72,2.25,0.2,0.5,0.07,0.23,0.0,0.34,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,1.633,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.06,0.0,0.0,0.0,1.02,1.5,0.0,1.28,0.73,2.23,0.18,0.72,0.07,0.26,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,1.6669999999999998,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.1,0.0,0.0,0.0,1.0,1.27,0.0,1.2,0.66,2.11,0.13,0.65,0.07,0.16,0.0,0.42,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0,1.7,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.08,0.0,0.0,0.0,0.99,1.12,0.0,1.02,0.66,1.96,0.0,0.47,0.0,0.09,0.0,0.46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0,1.733,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.05,0.0,0.0,0.0,0.88,1.11,0.0,0.91,0.65,1.76,0.0,0.26,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0,1.767,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.81,1.36,0.0,0.97,0.61,1.67,0.04,0.27,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,1.8,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.75,1.36,0.0,1.0,0.58,1.69,0.04,0.26,0.09,0.0,0.02,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,1.8330000000000002,0.98,1,/app/raw_data/subj02_timepoint02.mp4
